enddate,value
9/9/19 11:17,116
9/9/19 11:32,33
9/9/19 11:44,86
9/9/19 11:49,135
9/9/19 12:02,109
9/9/19 12:08,165
9/9/19 12:12,73
9/9/19 12:22,185
9/9/19 12:26,156
9/9/19 12:31,169
9/9/19 12:35,41
9/9/19 12:41,40
9/9/19 12:47,107
9/9/19 12:53,158
9/9/19 12:59,181
9/9/19 13:56,81
9/9/19 14:20,169
9/9/19 15:09,34
9/9/19 15:22,119
9/9/19 15:28,89
9/9/19 15:38,35
9/9/19 16:00,82
9/9/19 16:06,118
9/9/19 16:08,34
9/9/19 16:16,35
9/9/19 16:18,150
9/9/19 16:27,93
9/9/19 16:29,40
9/9/19 16:44,119
9/9/19 17:03,71
9/9/19 17:09,155
9/9/19 17:52,128
9/9/19 17:58,145
9/9/19 18:57,65
9/9/19 19:00,42
9/9/19 19:12,66
9/9/19 19:16,120
9/9/19 19:18,89
9/9/19 19:24,61
9/9/19 19:31,63
9/9/19 19:42,178
9/9/19 19:45,67
9/9/19 19:51,77
9/9/19 20:09,61
9/9/19 20:15,183
9/9/19 20:22,175
9/9/19 20:24,178
9/9/19 20:35,142
9/9/19 20:38,78
9/9/19 20:53,71
9/9/19 21:05,72
9/9/19 21:10,142
9/9/19 21:14,51
9/9/19 21:21,43
9/9/19 21:28,83
9/9/19 21:49,55
9/9/19 22:46,66
9/10/19 11:12,86
9/10/19 11:14,113
9/10/19 11:47,105
9/10/19 11:55,176
9/10/19 12:07,159
9/10/19 12:12,186
9/10/19 12:28,98
9/10/19 12:38,116
9/10/19 12:56,90
9/10/19 12:59,130
9/10/19 13:14,77
9/10/19 13:50,87
9/10/19 14:11,175
9/10/19 14:15,137
9/10/19 14:33,125
9/10/19 14:52,141
9/10/19 14:53,90
9/10/19 15:05,102
9/10/19 15:14,34
9/10/19 15:38,91
9/10/19 16:02,83
9/10/19 16:16,85
9/10/19 16:22,89
9/10/19 16:29,42
9/10/19 16:34,182
9/10/19 16:44,63
9/10/19 17:03,135
9/10/19 17:04,66
9/10/19 17:15,35
9/10/19 17:23,171
9/10/19 17:29,112
9/10/19 17:34,48
9/10/19 17:38,143
9/10/19 17:45,64
9/10/19 17:51,98
9/10/19 17:57,128
9/10/19 18:02,38
9/10/19 18:35,148
9/10/19 18:39,178
9/10/19 19:03,157
9/10/19 19:25,100
9/10/19 19:47,180
9/10/19 19:49,69
9/10/19 20:43,87
9/10/19 21:16,41
9/10/19 21:18,153
9/10/19 21:25,98
9/11/19 11:03,82
9/11/19 11:08,96
9/11/19 11:14,164
9/11/19 11:46,57
9/11/19 11:55,149
9/11/19 12:00,120
9/11/19 12:10,49
9/11/19 12:28,125
9/11/19 13:07,35
9/11/19 13:19,159
9/11/19 13:29,82
9/11/19 13:54,171
9/11/19 14:17,47
9/11/19 14:18,39
9/11/19 14:36,63
9/11/19 14:46,66
9/11/19 15:02,147
9/11/19 15:33,114
9/11/19 15:39,105
9/11/19 16:09,82
9/11/19 16:18,105
9/11/19 16:22,136
9/11/19 16:30,112
9/11/19 16:38,51
9/11/19 16:39,57
9/11/19 16:47,149
9/11/19 16:48,77
9/11/19 16:56,139
9/11/19 17:01,92
9/11/19 17:04,134
9/11/19 17:10,80
9/11/19 17:20,58
9/11/19 17:24,99
9/11/19 17:29,33
9/11/19 18:48,60
9/11/19 18:58,70
9/11/19 18:59,117
9/11/19 19:25,149
9/11/19 19:39,77
9/11/19 19:44,75
9/11/19 19:54,180
9/11/19 20:00,188
9/11/19 20:09,82
9/11/19 20:21,44
9/11/19 20:56,48
9/12/19 11:37,146
9/12/19 11:42,158
9/12/19 11:48,189
9/12/19 11:51,34
9/12/19 11:55,123
9/12/19 11:58,124
9/12/19 12:05,74
9/12/19 12:09,141
9/12/19 12:17,179
9/12/19 12:19,137
9/12/19 13:07,91
9/12/19 13:13,116
9/12/19 13:24,64
9/12/19 13:31,179
9/12/19 13:50,150
9/12/19 13:55,98
9/12/19 14:09,58
9/12/19 14:13,84
9/12/19 14:22,73
9/12/19 14:50,109
9/12/19 14:59,143
9/12/19 15:07,74
9/12/19 15:08,64
9/12/19 15:18,52
9/12/19 15:21,76
9/12/19 15:28,72
9/12/19 15:33,65
9/12/19 15:35,125
9/12/19 15:39,94
9/12/19 15:47,58
9/12/19 15:49,42
9/12/19 15:53,92
9/12/19 16:03,60
9/12/19 16:05,183
9/12/19 16:10,152
9/12/19 16:22,83
9/12/19 16:28,123
9/12/19 16:31,44
9/12/19 16:35,153
9/12/19 17:15,100
9/12/19 17:24,73
9/12/19 17:32,147
9/12/19 17:37,156
9/12/19 17:39,161
9/12/19 17:43,172
9/13/19 12:19,131
9/13/19 12:24,170
9/13/19 12:28,142
9/13/19 12:37,158
9/13/19 12:41,80
9/13/19 12:47,167
9/13/19 12:49,103
9/13/19 12:56,134
9/13/19 13:00,80
9/13/19 13:04,101
9/13/19 13:10,112
9/13/19 13:17,83
9/13/19 13:19,188
9/13/19 13:26,169
9/13/19 13:28,87
9/13/19 13:45,122
9/13/19 13:49,118
9/13/19 14:00,124
9/13/19 14:03,135
9/13/19 14:11,45
9/13/19 14:17,189
9/13/19 14:21,65
9/13/19 14:27,68
9/13/19 14:31,110
9/13/19 14:37,138
9/13/19 14:40,165
9/13/19 14:44,111
9/13/19 14:51,176
9/13/19 14:55,51
9/13/19 15:00,128
9/13/19 15:03,83
9/13/19 15:08,179
9/13/19 15:17,114
9/13/19 15:22,36
9/13/19 15:24,148
9/13/19 15:29,186
9/13/19 15:37,73
9/13/19 15:39,100
9/13/19 15:46,133
9/13/19 15:51,144
9/13/19 15:57,177
9/13/19 16:00,63
9/13/19 16:06,48
9/13/19 16:11,167
9/13/19 16:17,87
9/13/19 16:18,135
9/13/19 16:26,168
9/13/19 16:32,64
9/13/19 16:33,143
9/13/19 16:39,88
9/13/19 16:45,127
9/13/19 16:49,67
9/13/19 16:56,141
9/13/19 16:59,129
9/13/19 17:06,86
9/13/19 17:08,70
9/13/19 17:15,173
9/13/19 17:20,180
9/13/19 17:24,167
9/13/19 17:30,186
9/13/19 17:35,179
9/13/19 17:40,130
9/13/19 17:43,104
9/13/19 17:48,175
9/13/19 17:56,114
9/13/19 17:59,52
9/13/19 18:05,93
9/13/19 18:09,67
9/13/19 18:17,139
9/13/19 18:22,140
9/13/19 18:23,143
9/13/19 18:28,51
9/13/19 18:36,65
9/13/19 18:42,52
9/13/19 18:47,71
9/13/19 18:49,177
9/13/19 18:55,134
9/13/19 19:00,155
9/13/19 19:04,121
9/13/19 19:12,88
9/13/19 19:16,169
9/13/19 19:20,164
9/13/19 19:33,161
9/13/19 19:37,33
9/13/19 19:39,110
9/13/19 19:46,106
9/13/19 19:52,175
9/13/19 19:56,74
9/13/19 20:00,115
9/13/19 20:07,104
9/13/19 20:08,44
9/14/19 8:20,127
9/14/19 8:39,107
9/14/19 8:44,145
9/14/19 9:00,50
9/14/19 9:11,70
9/14/19 9:23,47
9/14/19 9:42,100
9/14/19 9:53,72
9/14/19 9:55,115
9/14/19 10:24,169
9/14/19 10:31,189
9/14/19 10:36,56
9/14/19 10:39,88
9/14/19 10:49,77
9/14/19 10:54,48
9/14/19 10:58,122
9/14/19 11:04,71
9/14/19 11:11,52
9/14/19 11:24,110
9/14/19 11:42,93
9/14/19 11:52,168
9/14/19 12:00,154
9/14/19 12:11,126
9/14/19 12:18,35
9/14/19 12:51,125
9/14/19 12:57,133
9/14/19 12:58,190
9/14/19 13:05,131
9/14/19 13:19,146
9/14/19 13:27,50
9/14/19 13:32,150
9/14/19 13:33,105
9/14/19 13:39,188
9/14/19 13:43,76
9/14/19 13:52,125
9/14/19 13:54,162
9/14/19 13:58,167
9/14/19 14:13,62
9/14/19 14:18,41
9/14/19 14:36,134
9/14/19 14:58,115
9/14/19 15:15,140
9/14/19 15:43,58
9/14/19 15:50,115
9/14/19 16:00,45
9/14/19 16:41,86
9/14/19 16:58,128
9/14/19 17:02,129
9/14/19 17:03,135
9/14/19 17:34,95
9/14/19 18:55,78
9/14/19 19:07,53
9/14/19 19:12,79
9/15/19 7:02,164
9/15/19 7:05,42
9/15/19 7:37,160
9/15/19 7:39,61
9/15/19 7:43,146
9/15/19 7:51,123
9/15/19 7:54,46
9/15/19 8:01,89
9/15/19 8:08,67
9/15/19 8:09,127
9/15/19 8:13,183
9/15/19 8:19,36
9/15/19 8:37,172
9/15/19 8:41,139
9/15/19 8:45,113
9/15/19 8:55,159
9/15/19 9:40,98
9/15/19 9:50,188
9/15/19 9:58,165
9/15/19 9:59,160
9/15/19 10:21,85
9/15/19 10:47,143
9/15/19 11:00,88
9/15/19 11:06,76
9/15/19 11:09,157
9/15/19 11:14,165
9/15/19 11:35,53
9/15/19 12:13,125
9/15/19 12:22,162
9/15/19 12:25,103
9/15/19 12:31,158
9/15/19 12:34,133
9/15/19 12:40,69
9/15/19 12:46,137
9/15/19 12:49,123
9/15/19 12:57,107
9/15/19 13:37,106
9/15/19 14:08,78
9/15/19 14:21,38
9/15/19 14:36,119
9/15/19 14:45,69
9/15/19 15:06,52
9/15/19 15:16,98
9/15/19 15:19,149
9/15/19 15:51,60
9/15/19 15:59,65
9/15/19 16:04,64
9/15/19 16:25,103
9/15/19 16:32,102
9/15/19 16:39,84
9/15/19 17:07,148
9/15/19 17:10,148
9/16/19 11:13,91
9/16/19 11:36,105
9/16/19 11:51,161
9/16/19 11:53,139
9/16/19 12:44,102
9/16/19 13:12,104
9/16/19 13:21,152
9/16/19 13:47,153
9/16/19 14:23,86
9/16/19 14:29,160
9/16/19 14:33,81
9/16/19 15:01,154
9/16/19 15:17,43
9/16/19 15:38,106
9/16/19 16:05,137
9/16/19 16:09,55
9/16/19 16:18,39
9/16/19 16:25,180
9/16/19 16:31,34
9/16/19 16:34,171
9/16/19 16:38,80
9/16/19 16:48,127
9/16/19 16:49,70
9/16/19 16:56,121
9/16/19 16:59,135
9/16/19 17:17,56
9/16/19 17:32,122
9/16/19 17:42,38
9/16/19 17:44,59
9/16/19 17:59,162
9/16/19 18:39,76
9/16/19 18:50,88
9/16/19 19:02,41
9/16/19 19:25,118
9/16/19 19:54,120
9/16/19 20:15,154
9/16/19 21:05,46
9/17/19 7:02,96
9/17/19 7:09,96
9/17/19 7:24,112
9/17/19 7:42,45
9/17/19 7:45,114
9/17/19 7:49,141
9/17/19 7:56,185
9/17/19 8:06,98
9/17/19 8:23,89
9/17/19 8:25,98
9/17/19 8:30,126
9/17/19 8:34,151
9/17/19 8:40,86
9/17/19 8:43,142
9/17/19 8:51,189
9/17/19 8:55,34
9/17/19 8:59,182
9/17/19 9:04,169
9/17/19 9:12,119
9/17/19 9:37,35
9/17/19 9:41,137
9/17/19 9:48,56
9/17/19 9:57,100
9/17/19 10:08,113
9/17/19 10:11,74
9/17/19 10:14,87
9/17/19 10:22,106
9/17/19 10:25,45
9/17/19 10:29,184
9/17/19 10:37,159
9/17/19 10:39,130
9/17/19 10:46,164
9/17/19 10:52,49
9/17/19 10:55,111
9/17/19 11:00,129
9/17/19 11:10,156
9/17/19 11:17,146
9/17/19 11:21,74
9/17/19 11:23,98
9/17/19 12:54,93
9/17/19 12:59,169
9/17/19 13:04,175
9/17/19 13:13,62
9/17/19 13:15,75
9/17/19 13:20,51
9/17/19 13:27,185
9/17/19 13:32,123
9/17/19 13:35,43
9/17/19 13:42,60
9/17/19 13:47,84
9/17/19 13:51,146
9/17/19 13:54,40
9/17/19 14:00,149
9/17/19 14:08,65
9/17/19 14:11,136
9/17/19 14:17,46
9/17/19 14:18,43
9/17/19 14:26,145
6/16/19 7:20,71
6/16/19 7:22,131
6/16/19 7:26,139
6/16/19 7:33,122
6/16/19 7:38,186
6/16/19 7:44,100
6/16/19 7:50,129
6/16/19 7:52,189
6/16/19 7:58,109
6/16/19 8:01,52
6/16/19 8:20,168
6/16/19 8:21,152
6/16/19 8:29,71
6/16/19 8:35,107
6/16/19 8:37,90
6/16/19 8:47,136
6/16/19 8:52,187
6/16/19 9:04,103
6/16/19 9:40,76
6/16/19 9:53,114
6/16/19 9:56,62
6/16/19 10:34,180
6/16/19 10:38,76
6/16/19 10:43,144
6/16/19 10:48,153
6/16/19 10:51,117
6/16/19 10:58,65
6/16/19 11:01,94
6/16/19 11:10,35
6/16/19 11:11,92
6/16/19 11:19,122
6/16/19 11:24,151
6/16/19 11:29,118
6/16/19 11:30,181
6/16/19 11:38,150
6/16/19 11:41,100
6/16/19 11:50,75
6/16/19 12:03,59
6/16/19 12:07,169
6/16/19 12:39,190
6/16/19 12:52,52
6/16/19 12:59,130
6/16/19 13:00,111
6/16/19 13:06,187
6/16/19 13:11,37
6/16/19 13:17,168
9/17/19 14:30,158
9/17/19 14:35,159
9/17/19 14:41,96
9/17/19 14:43,155
9/17/19 14:52,74
9/17/19 14:58,108
9/17/19 15:01,54
9/17/19 15:05,162
9/17/19 15:10,136
9/17/19 15:13,178
9/17/19 15:22,130
9/17/19 15:26,91
9/17/19 15:30,184
9/17/19 15:34,142
9/17/19 15:40,119
9/17/19 15:43,72
9/17/19 15:50,89
9/17/19 15:57,176
9/17/19 16:00,116
9/17/19 16:07,161
9/17/19 16:08,72
9/17/19 16:18,188
9/17/19 16:23,165
9/17/19 16:24,128
9/17/19 16:29,78
9/17/19 16:33,92
9/17/19 16:39,81
9/17/19 16:43,107
9/17/19 16:50,36
9/17/19 16:58,104
6/16/19 13:32,151
6/16/19 13:37,161
6/16/19 13:49,38
6/16/19 14:28,65
6/16/19 14:40,181
6/16/19 14:42,107
6/16/19 14:48,99
6/16/19 14:51,50
6/16/19 15:05,97
6/16/19 15:08,136
6/16/19 15:14,158
6/16/19 15:18,116
6/16/19 15:50,87
6/16/19 16:04,96
6/16/19 16:07,87
6/16/19 16:16,110
6/16/19 16:31,176
6/16/19 16:38,36
6/16/19 16:47,72
6/16/19 16:59,106
6/16/19 17:05,65
6/16/19 17:06,129
6/16/19 17:18,105
6/16/19 17:35,59
6/16/19 17:43,149
6/16/19 18:48,108
6/16/19 19:22,142
6/16/19 19:36,84
6/16/19 20:23,35
6/12/19 13:24,89
6/12/19 13:42,144
6/12/19 13:53,88
6/12/19 14:01,40
6/12/19 14:08,42
6/12/19 14:11,44
6/12/19 14:27,34
6/12/19 14:33,92
6/12/19 14:58,174
6/12/19 15:16,182
6/12/19 15:38,58
6/12/19 15:48,130
6/12/19 15:52,118
6/12/19 16:01,125
6/12/19 16:20,184
6/12/19 16:41,166
6/12/19 17:06,158
6/12/19 17:13,150
6/12/19 17:30,85
6/12/19 17:34,133
6/12/19 17:38,62
6/12/19 17:49,109
6/12/19 17:54,153
6/12/19 17:58,62
6/12/19 18:22,178
6/12/19 18:33,186
6/12/19 18:48,154
6/12/19 19:47,70
6/12/19 19:57,40
6/12/19 20:11,105
6/12/19 20:47,53
6/12/19 20:52,161
6/12/19 21:17,179
6/13/19 7:12,148
6/13/19 7:18,71
6/13/19 7:52,155
6/13/19 7:59,135
6/13/19 8:05,69
6/13/19 8:08,44
6/13/19 8:14,166
6/13/19 8:16,150
6/13/19 8:22,130
6/13/19 8:40,79
6/13/19 9:18,156
6/13/19 9:21,84
6/13/19 10:19,93
6/13/19 10:32,99
6/13/19 10:43,119
6/13/19 10:50,178
6/13/19 11:05,96
6/13/19 11:56,115
6/13/19 12:26,134
6/13/19 12:40,51
6/13/19 13:00,71
6/13/19 13:04,122
6/13/19 13:14,140
6/13/19 13:27,109
6/13/19 13:33,94
6/13/19 13:39,70
6/13/19 13:44,184
6/13/19 13:46,61
6/13/19 13:53,38
6/13/19 14:51,145
6/13/19 15:02,177
6/13/19 15:09,67
6/13/19 15:42,106
6/13/19 15:50,137
6/13/19 15:57,108
6/13/19 16:16,69
6/13/19 16:23,38
6/13/19 16:30,110
6/13/19 16:53,105
6/13/19 16:57,190
6/13/19 17:01,96
6/13/19 17:16,47
6/13/19 17:29,190
6/13/19 17:33,122
6/13/19 17:39,176
6/13/19 17:49,93
6/13/19 17:52,68
6/13/19 17:56,55
6/13/19 18:14,67
6/13/19 18:42,78
6/13/19 18:48,48
6/13/19 18:57,158
6/14/19 6:43,106
6/14/19 6:46,77
6/14/19 7:05,93
6/14/19 7:53,54
6/14/19 8:06,181
6/14/19 8:55,166
6/14/19 9:58,106
6/14/19 10:58,121
6/14/19 11:21,50
6/14/19 11:59,136
6/14/19 12:17,89
6/14/19 12:27,92
6/14/19 12:30,113
6/14/19 12:37,99
6/14/19 12:43,39
6/14/19 13:39,169
6/14/19 13:45,172
6/14/19 14:02,174
6/14/19 14:43,125
6/14/19 14:55,155
6/14/19 15:03,138
6/14/19 15:43,156
6/14/19 16:08,42
6/14/19 16:13,86
6/14/19 16:58,74
6/14/19 17:45,79
6/14/19 17:48,111
6/14/19 17:55,162
6/14/19 18:24,188
6/14/19 18:38,104
6/14/19 18:42,71
