enddate,value,HKMetadataKeyBarometricPressure
3/14/21 14:32,0.97,96.7506
3/14/21 14:41,0.91,100.9064
3/14/21 16:01,0.98,82.5342
3/14/21 18:33,0.92,95.984
3/14/21 19:04,0.96,86.8079
3/14/21 20:11,0.96,87.3936
3/14/21 21:04,0.93,101.8659
3/14/21 22:00,0.98,88.9236
3/14/21 22:30,0.96,83.0549
3/14/21 23:32,0.93,99.3451
3/15/21 0:02,0.97,96.8094
3/15/21 0:32,0.99,97.6868
3/15/21 1:02,0.99,86.3039
3/15/21 1:32,0.9,89.5698
3/15/21 2:26,0.99,91.1102
3/15/21 3:09,0.91,85.8065
3/15/21 3:39,0.9,94.0879
3/15/21 4:09,0.91,94.0075
3/15/21 11:21,0.96,89.1967
3/15/21 12:01,0.98,89.0713
3/15/21 17:55,0.91,82.6698
3/15/21 19:27,0.94,90.5213
3/15/21 20:28,0.95,93.8449
3/16/21 7:01,0.99,89.2925
3/16/21 22:11,0.9,90.3247
3/16/21 22:44,0.97,84.1893
3/16/21 23:55,0.98,89.0423
3/17/21 0:25,0.92,102.0055
3/17/21 0:55,0.91,96.0224
3/17/21 1:25,0.99,91.0789
3/17/21 1:55,0.9,91.5722
3/17/21 2:25,0.96,98.7004
3/17/21 2:55,0.93,88.7998
3/17/21 3:27,0.9,98.5441
3/17/21 4:45,0.91,93.6943
3/17/21 5:15,0.91,98.4928
3/17/21 5:45,0.98,96.6978
3/17/21 6:15,0.99,82.4212
3/17/21 6:45,0.93,82.435
3/17/21 7:16,0.91,99.3765
3/17/21 10:38,0.98,82.129
3/17/21 11:35,0.99,89.6907
3/17/21 12:37,0.97,98.1684
3/17/21 14:11,0.99,88.6542
3/17/21 15:48,0.96,101.4756
3/17/21 18:12,0.94,97.2099
3/17/21 19:11,0.94,94.5291
3/17/21 19:52,0.95,93.5021
3/17/21 20:54,0.93,92.0718
3/17/21 21:25,0.99,89.8892
3/17/21 21:55,0.91,101.6543
3/17/21 22:55,0.91,89.3639
3/17/21 23:25,0.97,100.8225
3/17/21 23:55,0.92,96.4151
3/18/21 0:25,0.98,85.0952
3/18/21 0:55,0.98,90.5259
3/18/21 1:55,0.98,99.9939
3/18/21 2:28,0.9,91.9691
3/18/21 2:58,0.93,86.91
3/18/21 3:29,0.9,83.1697
3/18/21 4:02,0.93,82.5605
3/18/21 5:34,0.98,82.8924
3/18/21 6:33,0.92,98.1641
3/18/21 7:40,0.99,101.1935
3/18/21 9:23,0.91,84.4213
3/18/21 18:35,0.96,99.6708
3/18/21 19:31,0.94,85.395
3/18/21 20:17,0.95,90.9124
3/18/21 20:47,0.93,89.4705
3/18/21 21:17,0.99,93.703
3/18/21 21:49,0.92,95.9497
3/18/21 22:19,0.92,100.9888
3/18/21 22:49,0.91,94.7606
3/18/21 23:19,0.92,90.6725
3/18/21 23:49,0.98,90.8907
3/19/21 0:49,0.92,86.8839
3/19/21 1:32,0.97,94.8774
3/19/21 2:02,0.97,82.1145
3/19/21 2:32,0.91,89.4105
3/19/21 3:03,0.94,91.1677
3/19/21 3:33,0.98,99.4713
3/19/21 4:03,0.92,100.0798
3/19/21 4:33,0.93,101.8428
3/19/21 5:57,0.96,92.0478
3/19/21 7:39,0.93,83.7962
3/19/21 11:53,0.92,98.8208
3/20/21 11:50,0.9,99.8476
3/20/21 14:10,0.99,96.2916
3/20/21 18:24,0.99,98.2326
3/20/21 19:01,0.93,85.3917
3/20/21 20:23,0.92,92.284
3/20/21 21:50,0.96,88.1961
3/20/21 22:28,0.99,90.643
3/21/21 0:18,0.91,94.9376
3/21/21 1:10,0.98,95.9537
3/21/21 1:40,0.99,90.3821
3/21/21 2:36,0.91,99.9308
3/21/21 3:36,0.95,91.6666
3/21/21 4:35,0.92,96.3113
3/21/21 5:33,0.94,85.905
3/21/21 17:09,0.9,101.1867
3/21/21 20:35,0.98,85.1487
3/21/21 21:25,0.99,95.6072
3/21/21 21:55,0.91,84.5844
3/21/21 23:26,0.92,99.8622
3/22/21 2:21,0.9,91.9884
3/22/21 2:51,0.94,84.5899
3/22/21 3:21,0.97,95.6013
3/22/21 3:51,0.94,84.2239
3/22/21 4:31,0.92,91.4766
3/22/21 5:01,0.96,86.6162
3/22/21 5:31,0.93,97.1429
3/22/21 6:23,0.9,86.7383
3/22/21 7:03,0.95,87.0596
3/22/21 9:10,0.93,86.2934
3/22/21 15:42,0.91,94.3568
3/22/21 16:44,0.91,96.4468
3/22/21 17:26,0.9,89.6941
3/22/21 21:46,0.93,91.2506
3/22/21 22:23,0.98,89.9707
3/22/21 23:15,0.92,92.9017
3/22/21 23:45,0.92,95.6358
3/23/21 0:15,0.97,82.9595
3/23/21 0:45,0.91,83.1699
3/23/21 1:24,0.95,93.1985
3/23/21 2:24,0.98,92.5434
3/23/21 3:36,0.97,97.0501
3/23/21 4:09,0.95,101.4342
3/25/21 10:23,0.92,97.3021
3/25/21 20:50,0.91,101.1312
3/26/21 20:27,0.95,91.5817
3/26/21 23:11,0.9,98.5886
3/27/21 0:03,0.98,84.4993
3/27/21 0:38,0.94,89.043
3/27/21 1:08,0.98,84.2537
3/28/21 14:37,0.91,97.8189
3/28/21 20:37,0.93,82.06
3/28/21 23:14,0.9,97.4224
3/30/21 10:28,0.97,98.2332
4/4/21 18:52,0.99,89.2974
4/4/21 19:31,0.95,97.3095
4/4/21 20:02,0.96,92.9855
4/4/21 20:32,0.92,86.2766
4/4/21 21:02,0.9,98.317
4/4/21 21:32,0.9,93.9031
4/4/21 22:02,0.92,94.2758
4/4/21 23:04,0.96,88.4086
4/5/21 0:12,0.95,86.0547
4/5/21 1:42,0.94,88.1737
4/5/21 2:45,0.97,84.6536
4/5/21 3:15,0.93,101.6627
4/5/21 3:47,0.97,90.4447
4/5/21 4:18,0.97,84.196
4/5/21 5:59,0.97,87.4186
4/5/21 7:05,0.9,87.4176
4/5/21 8:37,0.96,96.9794
4/5/21 11:17,0.97,88.375
4/5/21 11:47,0.95,96.2059
4/5/21 12:17,0.92,87.4789
4/5/21 13:07,0.98,100.4047
4/5/21 14:30,0.94,82.7183
4/5/21 18:59,0.92,97.8776
4/5/21 19:29,0.98,101.6301
4/5/21 20:02,0.95,91.5698
4/5/21 20:32,0.98,100.087
4/5/21 21:02,0.91,91.5611
4/5/21 21:32,0.92,83.4139
4/5/21 22:35,0.99,84.0573
4/5/21 23:05,0.96,82.495
4/5/21 23:36,0.95,85.1653
4/6/21 0:42,0.95,101.7993
4/11/21 14:30,0.99,99.0912
4/11/21 15:30,0.91,99.9365
4/11/21 16:22,0.95,94.1212
4/11/21 17:05,0.93,83.0305
4/11/21 18:42,0.98,94.1381
4/11/21 19:56,0.97,99.1429
4/11/21 22:11,0.95,88.5916
4/11/21 22:42,0.95,97.1847
4/11/21 23:19,0.92,85.9174
4/12/21 0:09,0.92,85.873
4/12/21 0:40,0.95,97.0873
4/12/21 3:11,0.95,100.6421
4/12/21 4:27,0.92,99.6207
4/12/21 4:57,0.94,90.2642
4/12/21 8:21,0.98,92.0652
4/12/21 8:51,0.98,88.8471
4/12/21 14:09,0.98,93.9623
4/18/21 18:08,0.98,91.4616
4/18/21 19:11,0.98,87.0987
4/18/21 21:44,0.99,98.1301
4/18/21 22:14,0.94,91.4988
4/18/21 22:45,0.97,87.929
4/18/21 23:39,0.94,84.0965
4/19/21 0:43,0.92,99.0312
4/19/21 1:44,0.93,98.3643
4/19/21 3:04,0.98,93.2332
4/19/21 4:01,0.96,88.7441
4/19/21 5:01,0.95,91.1503
4/19/21 6:00,0.93,95.4915
4/19/21 6:44,0.93,92.1986
4/19/21 14:16,0.91,90.2457
4/19/21 20:35,0.93,92.3003
4/19/21 21:49,0.94,83.1419
4/28/21 21:29,0.95,92.2726
4/28/21 22:29,0.99,84.2682
4/28/21 22:59,0.93,94.9872
4/28/21 23:29,0.94,83.1987
4/28/21 23:59,0.96,92.0053
4/29/21 0:29,0.92,95.209
4/29/21 0:59,0.9,96.6593
4/29/21 1:44,0.97,96.4732
4/29/21 2:15,0.92,94.4268
4/29/21 2:45,0.91,91.7575
4/29/21 3:15,0.9,83.7454
4/29/21 3:45,0.94,97.5176
4/29/21 4:15,0.94,83.6242
4/29/21 5:45,0.98,95.7979
4/29/21 6:16,0.91,87.2718
4/29/21 6:46,0.93,90.0096
4/29/21 7:45,0.93,84.1417
4/29/21 8:15,0.99,95.7944
4/30/21 7:35,0.98,88.3419
5/1/21 4:29,0.93,87.7437
5/1/21 6:18,0.96,98.9381
5/1/21 7:52,0.92,83.0566
5/1/21 11:25,0.92,90.1737
5/1/21 11:55,0.91,82.6161
5/1/21 12:07,0.91,96.2679
5/1/21 17:09,0.96,86.1343
5/1/21 19:02,0.98,101.3861
5/1/21 20:13,0.92,100.7263
5/1/21 21:15,0.9,89.2185
5/1/21 21:45,0.97,95.8418
5/1/21 22:15,0.96,99.2248
5/1/21 22:45,0.94,87.5453
5/1/21 23:15,0.97,91.5055
5/1/21 23:45,0.98,85.4141
5/2/21 0:49,0.99,99.6863
5/2/21 1:21,0.93,97.2659
5/2/21 1:51,0.93,92.4943
5/2/21 2:21,0.97,96.2034
5/2/21 2:51,0.95,97.7544
5/2/21 3:38,0.94,94.2686
5/2/21 4:08,0.96,94.4943
5/2/21 4:38,0.95,93.9925
5/2/21 5:41,0.98,99.6344
5/2/21 7:41,0.9,98.948
5/2/21 16:14,0.93,85.634
5/3/21 22:05,0.9,97.0177
5/3/21 22:35,0.97,101.8524
5/3/21 23:35,0.99,86.3941
5/4/21 0:12,0.95,85.7281
5/4/21 1:12,0.95,90.9552
5/4/21 1:42,0.91,87.245
5/4/21 2:12,0.94,97.5191
5/4/21 2:42,0.99,90.6907
5/4/21 4:36,0.91,87.7581
5/4/21 13:18,0.9,91.5349
5/4/21 16:04,0.92,101.1229
5/5/21 16:25,0.94,89.3552
5/5/21 17:41,0.92,89.3435
5/5/21 18:52,0.94,93.2135
5/5/21 19:28,0.98,91.7065
5/5/21 20:51,0.93,102.0347
5/5/21 21:21,0.98,92.4868
5/5/21 21:51,0.98,91.237
5/5/21 22:21,0.97,91.5737
5/5/21 23:21,0.96,99.0889
5/6/21 0:26,0.9,89.237
5/6/21 0:56,0.94,98.2372
5/6/21 1:56,0.96,96.716
5/6/21 2:26,0.91,83.8362
5/6/21 3:38,0.96,93.895
5/6/21 4:38,0.92,97.0828
5/6/21 5:08,0.94,91.319
5/6/21 11:05,0.96,89.51
5/6/21 13:12,0.98,81.9345
5/6/21 13:42,0.94,88.5556
5/6/21 14:12,0.94,90.944
5/6/21 14:43,0.97,91.5875
5/6/21 15:13,0.9,88.0743
5/6/21 16:28,0.99,89.6363
5/6/21 16:58,0.94,95.6774
5/6/21 17:31,0.9,99.3963
5/7/21 16:52,0.94,82.8173
5/7/21 17:53,0.94,87.9135
5/8/21 15:18,0.95,96.0471
5/9/21 8:26,0.91,94.3232
5/15/21 16:13,0.93,94.8434
5/15/21 16:43,0.97,83.4272
5/15/21 18:20,0.99,95.6949
5/19/21 12:54,0.96,85.996
5/19/21 15:12,0.96,85.2485
5/24/21 8:41,0.97,94.05
5/25/21 6:35,0.92,90.8265
5/25/21 8:56,0.98,94.4066
5/25/21 15:51,0.98,89.0096
5/26/21 7:42,0.93,93.4081
5/26/21 9:41,0.93,88.71
5/26/21 12:19,0.95,100.3053
5/26/21 15:35,0.92,94.8704
5/25/21 21:27,0.99,81.9566
5/25/21 21:57,0.95,96.9762
5/25/21 22:27,0.92,90.6835
