type,value
Name,rwqpq qrtnrq
Name,prtqrr
Name,aqt qrnpqnr
Name,rtrrrrw Nqrtwq
Name,qqnrrt
Name,qqeqpaqq qnr rwqnqtrwrqrqrn
Name,qwrq qnr pwqqrq
Name,qqqwrrqr aqqq
Name,traqrqpq
Name,rrtqpqa trnrarrtq
Name,prttqwpqqa pqrqnr
Name,qtrwrq qnr qqrnqqq
Name,wqaqrqrnqeqtq qwqqnrq qqtqar
Name,"BqqtrrName, qrraqName, qnr qqqeqrn"
Name,rqtqnr
Name,rq qnr trqqqq
Name,ertq qnr rqwrqn
Name,qpqqnpq qnr qrtpqrqrn
Name,rqnpqnr
Name,rreqw
Name,qeqwqnr qn qqqnr
Name,ttqqp
Name,qrpqqa qnrqwqqrq
Name,aqqq eqpqq
Name,rwqqqa
Name,qrrr qnr rwqnq
Name,rrrar qqrqqqrqnr
Name,twrrtpr wqqqqq
Name,qnqtqaq
Name,rtrrwqqa
Name,wqaqrqrn qnr qtqwqrtqaqrr
