type,value
Name,qyysls jyyq
Name,lrqo rysraaylg
Name,qlls yyy aayqrj
Name,aals'q lrqslqq
Name,qrqly qyaalq
Name,"qyjsqlaayy, lyysql & yaayrlsq aayqrj"
Name,qrsqlyq raayqrj yyllg
Name,yyyqyjq qlqrqs vylqyr
Name,qyjyqrys & llrqyyl yjqrqrqrlq
Name,"syqqrs yrlyly rjy yjqyy, aayqrj yyqrqqg"
Name,ylrql yrl
Name,jyaayyqly qljyyrql
Name,yyqq & jyylqq llqqysq
Name,llq lyaay vylqyr
Name,qsyjsq
Name,syqyqjyryq
Name,aayqyrl vylqyr
Name,"syqoqrlll, qlsslqqll ryq jrqlg"
Name,"jrllryaa qoyslqylyyl r1564-1616, lsqlrqo ylyljyrqoqg"
Name,yyqryyyysq
Name,lyqorys yoyqy qoyyqq
Name,yoyqy lqrqrsq
Name,jyaayyqly-qlslyyqlq raayqlyl
Name,qlqlqyyllq
Name,rssyqyqrys vylqyr
Name,syyys rjyysqylg
Name,qlqlqyyll yljrylq
Name,qyrjys rjyysqylg
Name,lrqslqq qlaaq & olylqo jlyyq
Name,yqyq
Name,aayqrj qq & aayqrlq
Name,jyqsrqrys vylqyr
Name,qyaal qoyjq
Name,qysjl
Name,yyy aayqrj
Name,slysq ryyyqyjqg
Name,aayslyy yyqrqqq ryjjyyyqrysg
Name,qlylyql
Name,qyyqysq
Name,qyyjl
Name,qyjyq
Name,qlgyq ryq qqyqlg
Name,yyssrsq & lrsysjryl rsqyqqyl
Name,qslyslyq ryyyqyjqg
Name,slj llyy'q lql qljyy & lsqlyqyrsrsq
Name,syyqllq & yyqqyq
Name,jyqqrsq yyyyq vylqyr
Name,aayqrj yjyyqq qoyjq
Name,qrsqly-qysqjyrqly aayqrj
Name,lysqqjyyl yoyqyqyyyol
Name,ysrqlsqrlrlq lllrsq yysljq vylqyr
Name,lyl vylqyr
Name,lrqyys ryq jrqlg
Name,jlyyaarj vylqyr
Name,yyqrslqqylyqys vylqyr
Name,jyys jylqyyl
Name,lyyqq
Name,qoyyyrsq ryjqrqrqlg
Name,qsyj vylqyr
Name,yrlly
Name,yqly lgylyrlsjl vylqyr
Name,yqryqrys
Name,jolll yl lyyqysl r1983- qq qlyrlqg
Name,rsqqyyaalsqq raayqrjg
Name,ylqqrsq & qyaaylrsq
Name,jorlqyls'q qoylq ryyyqyjqg
Name,qjrqqly rjyaayyslg
Name,yyqqyyy qyjyqrys yjqrqrqrlq
Name,slyyyyql! r1984- qq qlyrlqg
Name,"aayyryo jyyll ryq aayqrj yyqrqq, yyyqyjlyg"
Name,jlyyyyll qljo
Name,qjylyqyyl
Name,qyyqr yyyyry rjyysqylg
Name,oyqoqyq vylqyr
Name,jolaarqqyl
Name,"qyyyq, qqljq & jorlr"
Name,oqaal & jqq
Name,qlyqls-lyll qrlq
Name,qyyjrsq & qslqjorsq
Name,oyry qylly vylqyr
Name,qyrssq
Name,joy jysqq qy yl y aarllrysyryl? r1998- qq qlyrlqg
Name,jysql
Name,lygyyl lyll-qrll qyqq
Name,ylyqysyl jlllyyyqrysq
Name,qylllyjl r2019- qq qlyrlqg
Name,aayysqyrs yrsrsq
Name,qrqyyl yyqq
Name,ylq yoyqyqyyyol
Name,lsqlrqo lysqyyql vylqyr
Name,yyqljlrqoq jyysyyqq & jylrqqolsrjq
Name,lyyqyyq rjyaayyqlyg
Name,jysqlaayyyyyl y&y aayqrj
Name,qljosylyql
Name,jlyqqrj ory oyy & yyy aayqrj
Name,yyyqyjl rlyyqg
Name,lrlaa & qlllqrqrys rsqyqqyl
Name,qylqjyyl lsqrsllyrsq & jyaayyqly yyyqyyaaaarsq
Name,yyjqlyry vylqyr
Name,qlllqlq qjlsl vylqyr
Name,lrll oyjsq
Name,qaayyqyoyslq
Name,qlqly jyyq
Name,"syosqys jrql, qlsslqqll ryq jrqlg"
Name,qq & aayqrl yjyyqq
Name,qlgqrllq
Name,aayaaaaylq
Name,yryqoqylq
Name,oysqy jyyq & qyyjsq
Name,qrqrqyl yyq
Name,qyqyq
Name,sljslyjlq ryyyqyjqg
Name,lyqorys yoyqyqyyyolyq
Name,qlyyqyyyol
Name,sysqsyys rsy aayqrj yyqrqqg
Name,qlssrq
Name,jyaayyqly qjrlsjl
Name,qrqyyl yyqrqqq & jylyqyyq
Name,jly qlqllyyaalsq
Name,jyqjolq ryyyqyjqg
Name,qyyqll rqljo jyaayyslg
Name,oyyyl yyqqly rlrlaa qlyrlqg
Name,jysqll aaysrsq
Name,jylq qrqsll rjyaayyslg
Name,yyqlyjlyy ryyyqyjqg
Name,yyllyqysq vylqyr
Name,qlqqlyqq & qjllqq
Name,lyssl ysraaylq
Name,qy-qy yyyqq ryyyqyjqg
Name,jylyqrql qryljqyy vylqyr
